,state,name,type,city,county,enroll,mmr,overall,xrel,xmed,xper
148,Arizona,Wheeler Elementary,Public,Tucson,Pima,58.0,100.0,92.06,4.33,1.72,7.53
149,Arizona,Whitman Elementary,Public,Mesa,Maricopa,106.0,100.0,92.06,4.33,2.0,0.94
150,Arizona,Academy Of Math And Science - Desert Sky,Charter,Phoenix,Maricopa,145.0,99.31,92.06,4.33,2.0,7.53
151,Arizona,Mountain View Elementary,Public,Phoenix,Maricopa,145.0,99.31,92.06,4.33,2.0,1.38
152,Arizona,Litchfield Elementary,Public,Litchfield Park,Maricopa,137.0,99.27,92.06,4.33,2.0,2.92
153,Arizona,Wilson Elementary,Public,Phoenix,Maricopa,137.0,99.27,92.06,4.33,2.0,0.73
154,Arizona,Arizona Charter Academy,Charter,Surprise,Maricopa,124.0,99.19,92.06,4.33,2.0,0.81
155,Arizona,Westwind Primary,Public,Phoenix,Maricopa,123.0,99.19,92.06,4.33,2.0,0.81
156,Arizona,Palmcroft Elementary,Public,Yuma,Yuma,120.0,99.17,92.06,4.33,2.0,0.83
157,Arizona,Imagine Elementary At Avondale,Charter,Avondale,Maricopa,113.0,99.12,92.06,4.33,2.0,0.88
158,Arizona,Mabel Padgett Elementary,Public,Goodyear,Maricopa,108.0,99.07,92.06,4.33,0.93,2.78
159,Arizona,Ocotillo,Public,Phoenix,Maricopa,103.0,99.03,92.06,4.33,2.0,1.94
160,Arizona,West Elementary,Public,Coolidge,Pinal,98.0,98.98,92.06,4.33,2.0,1.02
161,Arizona,Sunburst Elementary,Public,Glendale,Maricopa,97.0,98.97,92.06,4.33,2.0,3.09
162,Arizona,Borman Elementary,Public,Tucson,Pima,94.0,98.94,92.06,4.33,2.0,7.53
163,Arizona,Mary Belle Mccorkle,Public,Tucson,Pima,93.0,98.92,92.06,4.33,2.0,7.53
164,Arizona,Prince Elementary,Public,Tucson,Pima,93.0,98.92,92.06,4.33,2.0,1.08
165,Arizona,Michael Anderson,Public,Avondale,Maricopa,91.0,98.9,92.06,4.33,2.0,7.53
166,Arizona,Copper View Elementary,Public,Sahuarita,Pima,89.0,98.88,92.06,4.33,2.0,1.12
167,Arizona,Frank Borman Middle,Public,Phoenix,Maricopa,86.0,98.84,92.06,4.33,1.16,1.16
168,Arizona,Lake Pleasant Elementary,Public,Peoria,Maricopa,86.0,98.84,92.06,4.33,2.0,1.16
169,Arizona,Cotton Boll,Public,Peoria,Maricopa,85.0,98.82,92.06,4.33,2.0,1.18
170,Arizona,Holmes Elementary,Public,Mesa,Maricopa,85.0,98.82,92.06,4.33,2.0,1.18
171,Arizona,Sun Canyon Elementary,Public,Phoenix,Maricopa,85.0,98.82,92.06,4.33,2.0,7.53
172,Arizona,Weitzel's Puente De Hozho Bilinqual,Public,Flagstaff,Coconino,85.0,98.82,92.06,4.33,2.0,1.18
173,Arizona,Esperanza Elementary,Public,Tucson,Pima,84.0,98.81,92.06,4.33,1.19,1.19
174,Arizona,Esperanza Elementary School-85009,Public,Phoenix,Maricopa,83.0,98.8,92.06,4.33,2.0,1.2
175,Arizona,John F Kennedy Elementary,Public,Phoenix,Maricopa,83.0,98.8,92.06,4.33,1.2,1.2
176,Arizona,Valle Del Encanto Learning Center,Public,Somerton,Yuma,83.0,98.8,92.06,4.33,2.0,1.2
177,Arizona,Desert Mirage Elementary,Public,Glendale,Maricopa,82.0,98.78,92.06,4.33,2.0,1.22
